customer,location,type,Date
1,SSP-CPS,borrow,"May 25, 2022"
2,SSP-CPS,borrow,"May 25, 2022"
3,SSP-CPS,borrow,"May 25, 2022"
4,SSP-CPS,borrow,"May 25, 2022"
5,SSP-CPS,borrow,"May 25, 2022"
6,SSP-CPS,borrow,"May 25, 2022"
7,SSP-CPS,borrow,"May 25, 2022"
8,SSP-CPS,borrow,"May 25, 2022"
4,SSP-CPS,return,"May 25, 2022"
6,SSP-CPS,return,"May 25, 2022"
2,SSP-CPS,return,"May 25, 2022"
4,SSP-CPS,borrow,"May 26, 2022"
9,SSP-CPS,borrow,"May 26, 2022"
10,SSP-CPS,borrow,"May 26, 2022"
11,SSP-CPS,borrow,"May 26, 2022"
12,SSP-CPS,borrow,"May 26, 2022"
13,SSP-CPS,borrow,"May 26, 2022"
2,SSP-CPS,borrow,"May 26, 2022"
14,SSP-CPS,borrow,"May 26, 2022"
15,SSP-CPS,borrow,"May 26, 2022"
16,SSP-CPS,borrow,"May 26, 2022"
17,SSP-CPS,borrow,"May 26, 2022"
8,SSP-CPS,return,"May 26, 2022"
6,SSP-CPS,borrow,"May 26, 2022"
18,SSP-CPS,borrow,"May 26, 2022"
19,SSP-CPS,borrow,"May 26, 2022"
17,SSP-CPS,return,"May 26, 2022"
10,SSP-CPS,return,"May 26, 2022"
10,SSP-CPS,return,"May 26, 2022"
19,SSP-CPS,borrow,"May 27, 2022"
10,SSP-CPS,borrow,"May 27, 2022"
16,SSP-CPS,return,"May 27, 2022"
20,SSP-CPS,borrow,"May 27, 2022"
21,SSP-CPS,borrow,"May 27, 2022"
22,SSP-CPS,borrow,"May 27, 2022"
23,SSP-CPS,borrow,"May 27, 2022"
24,SSP-CPS,borrow,"May 27, 2022"
25,SSP-CPS,borrow,"May 27, 2022"
26,SSP-CPS,borrow,"May 27, 2022"
27,SSP-CPS,borrow,"May 27, 2022"
28,SSP-CPS,borrow,"May 27, 2022"
29,SSP-CPS,borrow,"May 27, 2022"
30,SSP-CPS,borrow,"May 27, 2022"
31,SSP-CPS,borrow,"May 27, 2022"
31,SSP-CPS,return,"May 27, 2022"
10,SSP-CPS,return,"May 27, 2022"
23,SSP-CPS,return,"May 27, 2022"
2,SSP-CPS,return,"May 27, 2022"
9,SSP-CPS,return,"May 27, 2022"
20,SSP-CPS,return,"May 27, 2022"
30,SSP-CPS,return,"May 27, 2022"
7,SSP-CPS,return,"May 27, 2022"
19,SSP-CPS,return,"May 27, 2022"
6,SSP-CPS,return,"May 27, 2022"
24,SSP-CPS,return,"May 27, 2022"
1,SSP-CPS,return,"May 27, 2022"
29,SSP-CPS,return,"May 27, 2022"
28,SSP-CPS,return,"May 27, 2022"
12,SSP-CPS,return,"May 27, 2022"
25,SSP-CPS,return,"May 27, 2022"
4,SSP-CPS,return,"May 27, 2022"
22,SSP-CPS,return,"May 27, 2022"
21,SSP-CPS,return,"May 27, 2022"
13,SSP-CPS,return,"May 27, 2022"
31,SSP-CPS,borrow,"May 30, 2022"
32,SSP-CPS,borrow,"May 30, 2022"
33,SSP-CPS,borrow,"May 30, 2022"
34,SSP-CPS,borrow,"May 30, 2022"
35,SSP-CPS,borrow,"May 30, 2022"
36,SSP-CPS,borrow,"May 30, 2022"
37,SSP-CPS,borrow,"May 30, 2022"
38,SSP-CPS,borrow,"May 30, 2022"
39,SSP-CPS,borrow,"May 30, 2022"
34,SSP-CPS,return,"May 31, 2022"
31,SSP-CPS,return,"May 31, 2022"
33,SSP-CPS,return,"May 31, 2022"
38,SSP-CPS,return,"May 31, 2022"
35,SSP-CPS,return,"May 31, 2022"
32,SSP-CPS,return,"May 31, 2022"
3,SSP-CPS,return,"May 31, 2022"
37,SSP-CPS,return,"May 31, 2022"
3,SSP-CPS,borrow,"May 31, 2022"
7,SSP-CPS,borrow,"May 31, 2022"
10,SSP-CPS,borrow,"May 31, 2022"
12,SSP-CPS,borrow,"May 31, 2022"
9,SSP-CPS,borrow,"May 31, 2022"
40,SSP-CPS,borrow,"May 31, 2022"
41,SSP-CPS,borrow,"May 31, 2022"
42,SSP-CPS,borrow,"May 31, 2022"
43,SSP-CPS,borrow,"May 31, 2022"
44,SSP-CPS,borrow,"May 31, 2022"
45,SSP-CPS,borrow,"May 31, 2022"
46,SSP-CPS,borrow,"May 31, 2022"
47,SSP-CPS,borrow,"May 31, 2022"
48,SSP-CPS,borrow,"May 31, 2022"
49,SSP-CPS,borrow,"May 31, 2022"
35,SSP-CPS,borrow,"May 31, 2022"
30,SSP-CPS,borrow,"May 31, 2022"
29,SSP-CPS,borrow,"May 31, 2022"
13,SSP-CPS,borrow,"May 31, 2022"
17,SSP-CPS,borrow,"May 31, 2022"
4,SSP-CPS,borrow,"May 31, 2022"
2,SSP-CPS,borrow,"May 31, 2022"
50,SSP-CPS,borrow,"May 31, 2022"
20,SSP-CPS,borrow,"May 31, 2022"
21,SSP-CPS,borrow,"May 31, 2022"
23,SSP-CPS,borrow,"May 31, 2022"
43,SSP-CPS,return,"May 31, 2022"
41,SSP-CPS,return,"May 31, 2022"
42,SSP-CPS,return,"May 31, 2022"
48,SSP-CPS,return,"May 31, 2022"
20,SSP-CPS,return,"May 31, 2022"
20,SSP-CPS,return,"May 31, 2022"
10,SSP-CPS,return,"May 31, 2022"
12,SSP-CPS,return,"May 31, 2022"
50,SSP-CPS,return,"May 31, 2022"
3,SSP-CPS,return,"May 31, 2022"
4,SSP-CPS,return,"May 31, 2022"
45,SSP-CPS,return,"May 31, 2022"
47,SSP-CPS,return,"May 31, 2022"
46,SSP-CPS,return,"May 31, 2022"
51,SSP-CPS,borrow,"May 31, 2022"
52,SSP-CPS,borrow,"May 31, 2022"
53,SSP-CPS,borrow,"Jun 1, 2022"
47,SSP-CPS,borrow,"Jun 1, 2022"
28,SSP-CPS,borrow,"Jun 1, 2022"
38,SSP-CPS,borrow,"Jun 1, 2022"
16,SSP-CPS,borrow,"Jun 1, 2022"
19,SSP-CPS,borrow,"Jun 1, 2022"
1,SSP-CPS,borrow,"Jun 1, 2022"
6,SSP-CPS,borrow,"Jun 1, 2022"
34,SSP-CPS,borrow,"Jun 1, 2022"
39,SSP-CPS,return,"Jun 1, 2022"
33,SSP-CPS,borrow,"Jun 1, 2022"
53,SSP-CPS,return,"Jun 1, 2022"
38,SSP-CPS,return,"Jun 1, 2022"
28,SSP-CPS,return,"Jun 1, 2022"
15,SSP-CPS,return,"Jun 1, 2022"
17,SSP-CPS,return,"Jun 1, 2022"
6,SSP-CPS,return,"Jun 1, 2022"
14,SSP-CPS,return,"Jun 1, 2022"
52,SSP-CPS,return,"Jun 1, 2022"
34,SSP-CPS,return,"Jun 1, 2022"
47,SSP-CPS,return,"Jun 1, 2022"
1,SSP-CPS,return,"Jun 1, 2022"
3,SSP-CPS,borrow,"Jun 1, 2022"
4,SSP-CPS,borrow,"Jun 1, 2022"
10,SSP-CPS,borrow,"Jun 2, 2022"
14,SSP-CPS,borrow,"Jun 2, 2022"
25,SSP-CPS,borrow,"Jun 2, 2022"
31,SSP-CPS,borrow,"Jun 2, 2022"
38,SSP-CPS,borrow,"Jun 2, 2022"
42,SSP-CPS,borrow,"Jun 2, 2022"
47,SSP-CPS,borrow,"Jun 2, 2022"
48,SSP-CPS,borrow,"Jun 2, 2022"
48,SSP-CPS,borrow,"Jun 2, 2022"
52,SSP-CPS,borrow,"Jun 2, 2022"
53,SSP-CPS,borrow,"Jun 2, 2022"
28,SSP-CPS,borrow,"Jun 2, 2022"
15,SSP-CPS,borrow,"Jun 2, 2022"
12,SSP-CPS,borrow,"Jun 2, 2022"
50,SSP-CPS,borrow,"Jun 2, 2022"
46,SSP-CPS,borrow,"Jun 2, 2022"
34,SSP-CPS,borrow,"Jun 2, 2022"
48,SSP-CPS,return,"Jun 2, 2022"
4,SSP-CPS,return,"Jun 2, 2022"
9,SSP-CPS,return,"Jun 2, 2022"
51,SSP-CPS,return,"Jun 2, 2022"
52,SSP-CPS,return,"Jun 2, 2022"
10,SSP-CPS,return,"Jun 2, 2022"
14,SSP-CPS,return,"Jun 2, 2022"
50,SSP-CPS,return,"Jun 2, 2022"
40,SSP-CPS,return,"Jun 2, 2022"
18,SSP-CPS,return,"Jun 2, 2022"
33,SSP-CPS,return,"Jun 2, 2022"
53,SSP-CPS,return,"Jun 2, 2022"
46,SSP-CPS,return,"Jun 2, 2022"
15,SSP-CPS,return,"Jun 2, 2022"
16,SSP-CPS,return,"Jun 2, 2022"
19,SSP-CPS,return,"Jun 2, 2022"
27,SSP-CPS,return,"Jun 2, 2022"
31,SSP-CPS,return,"Jun 2, 2022"
26,SSP-CPS,return,"Jun 2, 2022"
34,SSP-CPS,return,"Jun 2, 2022"
20,SSP-CPS,borrow,"Jun 2, 2022"
4,SSP-CPS,borrow,"Jun 2, 2022"
34,SSP-CPS,borrow,"Jun 3, 2022"
22,SSP-CPS,borrow,"Jun 3, 2022"
41,SSP-CPS,borrow,"Jun 3, 2022"
52,SSP-CPS,borrow,"Jun 3, 2022"
54,SSP-CPS,borrow,"Jun 3, 2022"
55,SSP-CPS,borrow,"Jun 3, 2022"
18,SSP-CPS,borrow,"Jun 3, 2022"
19,SSP-CPS,borrow,"Jun 3, 2022"
20,SSP-CPS,return,"Jun 3, 2022"
54,SSP-CPS,return,"Jun 3, 2022"
11,SSP-CPS,return,"Jun 3, 2022"
47,SSP-CPS,return,"Jun 3, 2022"
52,SSP-CPS,return,"Jun 3, 2022"
22,SSP-CPS,return,"Jun 3, 2022"
28,SSP-CPS,return,"Jun 3, 2022"
19,SSP-CPS,return,"Jun 3, 2022"
18,SSP-CPS,return,"Jun 3, 2022"
25,SSP-CPS,return,"Jun 3, 2022"
34,SSP-CPS,return,"Jun 3, 2022"
38,SSP-CPS,return,"Jun 3, 2022"
42,SSP-CPS,return,"Jun 3, 2022"
4,SSP-CPS,return,"Jun 3, 2022"
23,SSP-CPS,return,"Jun 3, 2022"
1,SSP-CPS,borrow,"Jun 3, 2022"
4,SSP-CPS,borrow,"Jun 3, 2022"
6,SSP-CPS,borrow,"Jun 6, 2022"
7,SSP-CPS,borrow,"Jun 6, 2022"
9,SSP-CPS,borrow,"Jun 6, 2022"
10,SSP-CPS,borrow,"Jun 6, 2022"
11,SSP-CPS,borrow,"Jun 6, 2022"
4,SSP-CPS,return,"Jun 6, 2022"
9,SSP-CPS,return,"Jun 6, 2022"
7,SSP-CPS,return,"Jun 6, 2022"
6,SSP-CPS,return,"Jun 6, 2022"
1,SSP-CPS,return,"Jun 6, 2022"
14,SSP-CPS,borrow,"Jun 6, 2022"
20,SSP-CPS,return,"Jun 6, 2022"
15,SSP-CPS,borrow,"Jun 6, 2022"
17,SSP-CPS,borrow,"Jun 6, 2022"
18,SSP-CPS,borrow,"Jun 7, 2022"
19,SSP-CPS,borrow,"Jun 7, 2022"
20,SSP-CPS,borrow,"Jun 7, 2022"
22,SSP-CPS,borrow,"Jun 7, 2022"
23,SSP-CPS,borrow,"Jun 7, 2022"
24,SSP-CPS,borrow,"Jun 7, 2022"
18,SSP-CPS,return,"Jun 7, 2022"
20,SSP-CPS,return,"Jun 7, 2022"
3,SSP-CPS,return,"Jun 7, 2022"
19,SSP-CPS,return,"Jun 7, 2022"
22,SSP-CPS,return,"Jun 7, 2022"
12,SSP-CPS,return,"Jun 7, 2022"
25,SSP-CPS,borrow,"Jun 7, 2022"
26,SSP-CPS,borrow,"Jun 7, 2022"
27,SSP-CPS,borrow,"Jun 8, 2022"
28,SSP-CPS,borrow,"Jun 8, 2022"
31,SSP-CPS,borrow,"Jun 8, 2022"
32,SSP-CPS,borrow,"Jun 8, 2022"
33,SSP-CPS,borrow,"Jun 8, 2022"
34,SSP-CPS,borrow,"Jun 8, 2022"
38,SSP-CPS,borrow,"Jun 8, 2022"
39,SSP-CPS,borrow,"Jun 8, 2022"
40,SSP-CPS,borrow,"Jun 8, 2022"
42,SSP-CPS,borrow,"Jun 8, 2022"
43,SSP-CPS,borrow,"Jun 8, 2022"
45,SSP-CPS,borrow,"Jun 8, 2022"
11,SSP-CPS,return,"Jun 8, 2022"
10,SSP-CPS,return,"Jun 9, 2022"
42,SSP-CPS,return,"Jun 9, 2022"
43,SSP-CPS,return,"Jun 9, 2022"
15,SSP-CPS,return,"Jun 9, 2022"
45,SSP-CPS,return,"Jun 9, 2022"
5,SSP-CPS,return,"Jun 9, 2022"
46,SSP-CPS,borrow,"Jun 8, 2022"
47,SSP-CPS,borrow,"Jun 9, 2022"
41,SSP-CPS,return,"Jun 9, 2022"
47,SSP-CPS,return,"Jun 10, 2022"
48,SSP-CPS,borrow,"Jun 10, 2022"
51,SSP-CPS,borrow,"Jun 10, 2022"
50,SSP-CPS,borrow,"Jun 13, 2022"
14,SSP-CPS,return,"Jun 10, 2022"
25,SSP-CPS,return,"Jun 13, 2022"
50,SSP-CPS,return,"Jun 13, 2022"
51,SSP-CPS,return,"Jun 13, 2022"
52,SSP-CPS,borrow,"Jun 13, 2022"
53,SSP-CPS,borrow,"Jun 13, 2022"
48,SSP-CPS,return,"Jun 13, 2022"
38,SSP-CPS,return,"Jun 14, 2022"
26,SSP-CPS,return,"Jun 14, 2022"
54,SSP-CPS,borrow,"Jun 14, 2022"
46,SSP-CPS,return,"Jun 14, 2022"
39,SSP-CPS,return,"Jun 14, 2022"
56,SSP-CPS,borrow,"Jun 14, 2022"
23,SSP-CPS,return,"Jun 14, 2022"
52,SSP-CPS,return,"Jun 15, 2022"
56,SSP-CPS,return,"Jun 16, 2022"
18,SSP-CPS,borrow,"Jun 14, 2022"
19,SSP-CPS,borrow,"Jun 16, 2022"
18,SSP-CPS,return,"Jun 16, 2022"
19,SSP-CPS,return,"Jun 16, 2022"
18,SSP-CPS,borrow,"Jun 16, 2022"
18,SSP-CPS,return,"Jun 17, 2022"
25,SSP-CPS,borrow,"Jun 17, 2022"
53,SSP-CPS,borrow,"Jun 20, 2022"
53,SSP-CPS,return,"Jun 20, 2022"
54,SSP-CPS,return,"Jun 20, 2022"
56,SSP-CPS,borrow,"Jun 20, 2022"
43,SSP-CPS,borrow,"Jun 21, 2022"
42,SSP-CPS,borrow,"Jun 21, 2022"
25,SSP-CPS,return,"Jun 21, 2022"
43,SSP-CPS,return,"Jun 21, 2022"
38,SSP-CPS,borrow,"Jun 21, 2022"
14,SSP-CPS,borrow,"Jun 22, 2022"
3,SSP-CPS,borrow,"Jun 22, 2022"
42,SSP-CPS,return,"Jun 22, 2022"
3,SSP-CPS,return,"Jun 22, 2022"
29,SSP-CPS,return,"Jun 22, 2022"
24,SSP-CPS,return,"Jun 22, 2022"
38,SSP-CPS,return,"Jun 22, 2022"
14,SSP-CPS,return,"Jun 22, 2022"
56,SSP-CPS,return,"Jun 22, 2022"
29,SSP-CPS,borrow,"Jun 22, 2022"
20,SSP-CPS,borrow,"Jun 23, 2022"
46,SSP-CPS,borrow,"Jun 24, 2022"
34,SSP-CPS,borrow,"Jun 24, 2022"
34,SSP-CPS,return,"Jun 24, 2022"
33,SSP-CPS,return,"Jun 24, 2022"
27,SSP-CPS,return,"Jun 24, 2022"
46,SSP-CPS,return,"Jun 24, 2022"
20,SSP-CPS,return,"Jun 24, 2022"
34,SSP-CPS,return,"Jun 24, 2022"
31,SSP-CPS,return,"Jun 24, 2022"
29,SSP-CPS,return,"Jun 24, 2022"
40,SSP-CPS,borrow,"Jun 24, 2022"
47,SSP-CPS,borrow,"Jun 27, 2022"
22,SSP-CPS,borrow,"Jun 27, 2022"
9,SSP-CPS,borrow,"Jun 28, 2022"
4,SSP-CPS,borrow,"Jun 28, 2022"
1,SSP-CPS,borrow,"Jun 28, 2022"
31,SSP-CPS,borrow,"Jun 28, 2022"
47,SSP-CPS,return,"Jun 28, 2022"
4,SSP-CPS,return,"Jun 28, 2022"
39,SSP-CPS,borrow,"Jun 28, 2022"
17,SSP-CPS,return,"Jun 29, 2022"
55,SSP-CPS,return,"Jun 29, 2022"
56,SSP-CPS,borrow,"Jun 29, 2022"
22,SSP-CPS,return,"Jun 29, 2022"
9,SSP-CPS,return,"Jun 29, 2022"
43,SSP-CPS,borrow,"Jun 29, 2022"
40,SSP-CPS,return,"Jul 2, 2022"
53,SSP-CPS,return,"Jul 2, 2022"
52,SSP-CPS,borrow,"Jul 1, 2022"
54,SSP-CPS,borrow,"Jul 2, 2022"
52,SSP-CPS,return,"Jul 2, 2022"
31,SSP-CPS,return,"Jul 2, 2022"
39,SSP-CPS,return,"Jul 2, 2022"
56,SSP-CPS,return,"Jul 2, 2022"
26,SSP-CPS,borrow,"Jul 2, 2022"
27,SSP-CPS,borrow,"Jul 5, 2022"
57,SSP-CPS,borrow,"Jul 5, 2022"
57,SSP-CPS,return,"Jul 5, 2022"
58,SSP-CPS,borrow,"Jul 5, 2022"
59,SSP-CPS,borrow,"Jul 6, 2022"
60,SSP-CPS,borrow,"Jul 6, 2022"
54,SSP-CPS,return,"Jul 6, 2022"
45,SSP-CPS,borrow,"Jul 6, 2022"
58,SSP-CPS,return,"Jul 6, 2022"
26,SSP-CPS,return,"Jul 7, 2022"
61,SSP-CPS,borrow,"Jul 6, 2022"
59,SSP-CPS,return,"Jul 8, 2022"
61,SSP-CPS,return,"Jul 8, 2022"
58,SSP-CPS,borrow,"Jul 6, 2022"
59,SSP-CPS,borrow,"Jul 8, 2022"
58,SSP-CPS,return,"Jul 12, 2022"
57,SSP-CPS,borrow,"Jul 12, 2022"
60,SSP-CPS,return,"Jul 13, 2022"
59,SSP-CPS,return,"Jul 14, 2022"
59,SSP-CPS,return,"Jul 14, 2022"
56,SSP-CPS,borrow,"Jul 12, 2022"
54,SSP-CPS,borrow,"Jul 13, 2022"
53,SSP-CPS,borrow,"Jul 15, 2022"
52,SSP-CPS,borrow,"Jul 15, 2022"
51,SSP-CPS,borrow,"Jul 15, 2022"
13,SSP-CPS,return,"Jul 19, 2022"
40,SSP-CPS,return,"Jul 19, 2022"
1,SSP-CPS,return,"Jul 19, 2022"
32,SSP-CPS,return,"Jul 19, 2022"
28,SSP-CPS,return,"Jul 19, 2022"
10,SSP-CPS,borrow,"Jul 19, 2022"
11,SSP-CPS,borrow,"Jul 19, 2022"
12,SSP-CPS,borrow,"Jul 20, 2022"
14,SSP-CPS,borrow,"Jul 21, 2022"
15,SSP-CPS,borrow,"Jul 25, 2022"
14,SSP-CPS,return,"Jul 26, 2022"
1,SSP-CPS,return,"Jul 26, 2022"
52,SSP-CPS,return,"Jul 26, 2022"
27,SSP-CPS,borrow,"Jul 26, 2022"
19,SSP-CPS,borrow,"Jul 26, 2022"
20,SSP-CPS,return,"Jul 27, 2022"
51,SSP-CPS,return,"Jul 27, 2022"
58,SSP-CPS,return,"Jul 27, 2022"
45,SSP-CPS,return,"Jul 27, 2022"
19,SSP-CPS,return,"Jul 27, 2022"
57,SSP-CPS,return,"Jul 27, 2022"
27,SSP-CPS,return,"Jul 27, 2022"
33,SSP-CPS,borrow,"Jul 29, 2022"
23,SSP-CPS,return,"Jul 29, 2022"
23,SSP-CPS,return,"Jul 29, 2022"
26,SSP-CPS,borrow,"Jul 29, 2022"
33,SSP-CPS,return,"Aug 1, 2022"
40,SSP-CPS,borrow,"Aug 2, 2022"
41,SSP-CPS,borrow,"Aug 8, 2022"
41,SSP-CPS,return,"Aug 10, 2022"
42,SSP-CPS,borrow,"Aug 10, 2022"
45,SSP-CPS,borrow,"Aug 11, 2022"
45,SSP-CPS,return,"Aug 11, 2022"
42,SSP-CPS,return,"Aug 11, 2022"
46,SSP-CPS,borrow,"Aug 11, 2022"
46,SSP-CPS,return,"Aug 12, 2022"
47,SSP-CPS,borrow,"Aug 15, 2022"
48,SSP-CPS,borrow,"Aug 16, 2022"
60,SSP-CPS,borrow,"Aug 16, 2022"
61,SSP-CPS,borrow,"Aug 17, 2022"
40,SSP-CPS,return,"Aug 18, 2022"
22,SSP-CPS,borrow,"Aug 18, 2022"
22,SSP-CPS,return,"Aug 19, 2022"
23,SSP-CPS,borrow,"Aug 19, 2022"
24,SSP-CPS,borrow,"Aug 22, 2022"
25,SSP-CPS,borrow,"Aug 22, 2022"
27,SSP-CPS,borrow,"Aug 22, 2022"
28,SSP-CPS,borrow,"Aug 22, 2022"
29,SSP-CPS,borrow,"Aug 22, 2022"
31,SSP-CPS,borrow,"Aug 22, 2022"
31,SSP-CPS,return,"Aug 22, 2022"
24,SSP-CPS,return,"Aug 23, 2022"
29,SSP-CPS,return,"Aug 23, 2022"
18,SSP-CPS,borrow,"Aug 23, 2022"
60,SSP-CPS,return,"Aug 26, 2022"
61,SSP-CPS,return,"Aug 26, 2022"
23,SSP-CPS,return,"Aug 26, 2022"
27,SSP-CPS,return,"Aug 26, 2022"
25,SSP-CPS,return,"Aug 26, 2022"
11,SSP-CPS,return,"Aug 26, 2022"
28,SSP-CPS,return,"Aug 26, 2022"
26,SSP-CPS,return,"Aug 26, 2022"
1,SSP-CPS,borrow,"Aug 26, 2022"
3,SSP-CPS,borrow,"Aug 26, 2022"
4,SSP-CPS,borrow,"Aug 26, 2022"
1,SSP-CPS,return,"Aug 26, 2022"
3,SSP-CPS,return,"Aug 26, 2022"
4,SSP-CPS,return,"Aug 26, 2022"
5,SSP-CPS,borrow,"Aug 29, 2022"
6,SSP-CPS,borrow,"Aug 29, 2022"
7,SSP-CPS,borrow,"Aug 29, 2022"
9,SSP-CPS,borrow,"Aug 30, 2022"
10,SSP-CPS,borrow,"Aug 30, 2022"
11,SSP-CPS,borrow,"Aug 31, 2022"
62,SSP-CPS,borrow,"Aug 31, 2022"
15,SSP-CPS,borrow,"Aug 31, 2022"
10,SSP-CPS,return,"Aug 31, 2022"
18,SSP-CPS,return,"Aug 31, 2022"
28,SSP-CPS,borrow,"Aug 31, 2022"
28,SSP-CPS,return,"Aug 31, 2022"
62,SSP-CPS,return,"Aug 31, 2022"
11,SSP-CPS,return,"Aug 31, 2022"
31,SSP-CPS,borrow,"Sep 2, 2022"
32,SSP-CPS,borrow,"Sep 5, 2022"
33,SSP-CPS,borrow,"Sep 5, 2022"
34,SSP-CPS,borrow,"Sep 5, 2022"
40,SSP-CPS,borrow,"Sep 6, 2022"
32,SSP-CPS,return,"Sep 6, 2022"
15,SSP-CPS,return,"Sep 6, 2022"
5,SSP-CPS,return,"Sep 6, 2022"
24,SSP-CPS,borrow,"Sep 7, 2022"
40,SSP-CPS,return,"Sep 7, 2022"
50,SSP-CPS,borrow,"Sep 8, 2022"
34,SSP-CPS,return,"Sep 9, 2022"
38,SSP-CPS,borrow,"Sep 9, 2022"
38,SSP-CPS,return,"Sep 9, 2022"
39,SSP-CPS,borrow,"Sep 9, 2022"
40,SSP-CPS,borrow,"Sep 12, 2022"
23,SSP-CPS,borrow,"Sep 12, 2022"
4,SSP-CPS,borrow,"Sep 12, 2022"
40,SSP-CPS,return,"Sep 12, 2022"
61,SSP-CPS,borrow,"Sep 12, 2022"
4,SSP-CPS,return,"Sep 12, 2022"
61,SSP-CPS,return,"Sep 12, 2022"
58,SSP-CPS,borrow,"Sep 13, 2022"
59,SSP-CPS,borrow,"Sep 13, 2022"
60,SSP-CPS,borrow,"Sep 13, 2022"
57,SSP-CPS,borrow,"Sep 13, 2022"
1,SSP-CPS,borrow,"Sep 13, 2022"
24,SSP-CPS,return,"Sep 13, 2022"
11,SSP-CPS,borrow,"Sep 14, 2022"
1,SSP-CPS,return,"Sep 15, 2022"
15,SSP-CPS,borrow,"Sep 15, 2022"
18,SSP-CPS,borrow,"Sep 15, 2022"
20,SSP-CPS,borrow,"Sep 15, 2022"
20,SSP-CPS,return,"Sep 15, 2022"
15,SSP-CPS,return,"Sep 15, 2022"
29,SSP-CPS,borrow,"Sep 16, 2022"
32,SSP-CPS,borrow,"Sep 16, 2022"
34,SSP-CPS,borrow,"Sep 16, 2022"
32,SSP-CPS,return,"Sep 16, 2022"
29,SSP-CPS,return,"Sep 16, 2022"
34,SSP-CPS,return,"Sep 16, 2022"
51,SSP-CPS,borrow,"Sep 19, 2022"
60,SSP-CPS,return,"Sep 19, 2022"
52,SSP-CPS,borrow,"Sep 19, 2022"
51,SSP-CPS,return,"Sep 19, 2022"
63,SSP-CPS,borrow,"Sep 20, 2022"
64,SSP-CPS,borrow,"Sep 20, 2022"
63,SSP-CPS,return,"Sep 20, 2022"
64,SSP-CPS,return,"Sep 20, 2022"
51,SSP-CPS,borrow,"Sep 21, 2022"
40,SSP-CPS,borrow,"Sep 21, 2022"
38,SSP-CPS,borrow,"Sep 21, 2022"
11,SSP-CPS,return,"Sep 21, 2022"
57,SSP-CPS,return,"Sep 21, 2022"
3,SSP-CPS,borrow,"Sep 22, 2022"
5,SSP-CPS,borrow,"Sep 22, 2022"
3,SSP-CPS,return,"Sep 22, 2022"
40,SSP-CPS,return,"Sep 23, 2022"
24,SSP-CPS,borrow,"Sep 23, 2022"
26,SSP-CPS,borrow,"Sep 23, 2022"
26,SSP-CPS,return,"Sep 23, 2022"
25,SSP-CPS,borrow,"Sep 26, 2022"
32,SSP-CPS,borrow,"Sep 26, 2022"
52,SSP-CPS,return,"Sep 26, 2022"
40,SSP-CPS,borrow,"Sep 26, 2022"
60,SSP-CPS,borrow,"Sep 27, 2022"
20,SSP-CPS,borrow,"Sep 27, 2022"
24,SSP-CPS,return,"Sep 27, 2022"
20,SSP-CPS,return,"Sep 27, 2022"
6,SSP-CPS,return,"Sep 27, 2022"
9,SSP-CPS,return,"Sep 27, 2022"
31,SSP-CPS,return,"Sep 27, 2022"
50,SSP-CPS,return,"Sep 27, 2022"
26,SSP-CPS,borrow,"Sep 28, 2022"
27,SSP-CPS,borrow,"Sep 28, 2022"
32,SSP-CPS,return,"Sep 28, 2022"
38,SSP-CPS,return,"Sep 28, 2022"
18,SSP-CPS,return,"Sep 28, 2022"
25,SSP-CPS,return,"Sep 28, 2022"
61,SSP-CPS,borrow,"Sep 28, 2022"
61,SSP-CPS,return,"Sep 28, 2022"
57,SSP-CPS,borrow,"Sep 29, 2022"
6,SSP-CPS,borrow,"Sep 29, 2022"
1,SSP-CPS,borrow,"Sep 29, 2022"
57,SSP-CPS,return,"Sep 29, 2022"
1,SSP-CPS,return,"Sep 29, 2022"